date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:29:09	9772/9772	---M--	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2001:29:11%20GMT	http://receita.federaldobrasil.com/verificar-cpf	/data/data/com.termux/files/home/site-clonado1/receita.federaldobrasil.com/verificar-cpf.html	(from )
06:29:10	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Fri,%2014%20Mar%202025%2001:29:12%20GMT	http://receita.federaldobrasil.com/robots.txt		(from )
06:29:11	81280/81280	---M--	200	added ('OK')	application/octet-stream	etag:%221741877288.0-81280-3599306865%22	http://receita.federaldobrasil.com/static/fonts/rawline-400.ea42a37247439622.woff2	/data/data/com.termux/files/home/site-clonado1/receita.federaldobrasil.com/static/fonts/rawline-400.ea42a37247439622.woff2	(from http://receita.federaldobrasil.com/verificar-cpf)
06:29:13	83564/83564	---M--	200	added ('OK')	application/octet-stream	etag:%221741877288.0-83564-3643478231%22	http://receita.federaldobrasil.com/static/fonts/rawline-600.844a17f0db94d147.woff2	/data/data/com.termux/files/home/site-clonado1/receita.federaldobrasil.com/static/fonts/rawline-600.844a17f0db94d147.woff2	(from http://receita.federaldobrasil.com/verificar-cpf)
06:29:15	82580/82580	---M--	200	added ('OK')	application/octet-stream	etag:%221741877288.0-82580-3600945314%22	http://receita.federaldobrasil.com/static/fonts/rawline-700.1c7c76152b40409f.woff2	/data/data/com.termux/files/home/site-clonado1/receita.federaldobrasil.com/static/fonts/rawline-700.1c7c76152b40409f.woff2	(from http://receita.federaldobrasil.com/verificar-cpf)
06:29:15	29131/29131	---M--	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2001:29:16%20GMT	http://receita.federaldobrasil.com/buscar-cpf	/data/data/com.termux/files/home/site-clonado1/receita.federaldobrasil.com/buscar-cpf.html	(from http://receita.federaldobrasil.com/verificar-cpf)
06:29:15	31284/31284	---M--	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2001:29:17%20GMT	http://receita.federaldobrasil.com/	/data/data/com.termux/files/home/site-clonado1/receita.federaldobrasil.com/index.html	(from http://receita.federaldobrasil.com/buscar-cpf)
06:29:17	85084/85084	---M--	200	added ('OK')	application/octet-stream	etag:%221741877288.0-85084-3852472511%22	http://receita.federaldobrasil.com/static/fonts/rawline-400i.1701033bc0b08320.woff2	/data/data/com.termux/files/home/site-clonado1/receita.federaldobrasil.com/static/fonts/rawline-400i.1701033bc0b08320.woff2	(from http://receita.federaldobrasil.com/)
06:29:18	80524/80524	---M--	200	added ('OK')	application/octet-stream	etag:%221741877288.0-80524-3842118033%22	http://receita.federaldobrasil.com/static/fonts/rawline-500.f8af4ec801afaa28.woff2	/data/data/com.termux/files/home/site-clonado1/receita.federaldobrasil.com/static/fonts/rawline-500.f8af4ec801afaa28.woff2	(from http://receita.federaldobrasil.com/)
06:29:20	82352/82352	---M--	200	added ('OK')	application/octet-stream	etag:%221741877288.0-82352-3614249128%22	http://receita.federaldobrasil.com/static/fonts/rawline-800.5c5f78761d00551b.woff2	/data/data/com.termux/files/home/site-clonado1/receita.federaldobrasil.com/static/fonts/rawline-800.5c5f78761d00551b.woff2	(from http://receita.federaldobrasil.com/)
